Date,Company,Category,Aircraft,Location,Description
6/29/2015,Perch Photography LLC,"Photo/Film, Agriculture, Real Estate, Construction",DJI Inspire 1,Tennessee,"Aerial photography and videography for aerial surveying, event photography/videography, agriculture purposes, real estate photography, aerial filmmaking and photography, construction site inspections and monitoring."
4/3/2015,"Perfect View Aerial Media, LLC","Utilities/Energy/Infrastructure, Real Estate",DJI S1000,Florida,Thermal and photographic inspection of power infrastructure.
5/8/2015,"Pete's Precision Photo, LLC",Photo/Film,"DJI Phantom 2 Vision, DJI Phantom 2 Vision+",Connecticut,"Aerial photography, cinematography, videography, and inspections."
3/26/2015,Phoenix Air UNMANNED,"Utilities/Energy/Infrastructure, Photo/Film","Pulse Vapor 35, Vulcan Octo, Pulse Aerospace Vapor 55 UAS",Georgia,"Flare stack inspection; utility-power, generation system inspections and, patrolling; pipeline inspection and patrolling; filmmaking, cinematography, and videography; precision agriculture; wildlife and forestry monitoring; aerial surveying; construction site inspection and monitoring, public entity support operations, and closed-set motion picture and television filming. (Amended 6/3/15)"
4/17/2015,Photo-Flight Aerial Media,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,Connecticut,"Aerial photography, virtual tours, and real estate photographic services."
5/22/2015,Photobird LLC,Photo/Film,DJI Phantom 2,Utah,Aerial photography and videography.
6/5/2015,"Pickett & Associates, Inc.","Utilities/Energy/Infrastructure, Agriculture","Steadidrone QU4D−X 4, DJI Inspire 1",Florida,"Aerial surveying and mapping services, including inspections of electric transmission line corridors for utility companies, mapping for phosphate mining environmental remediation sites, agriculture crop lands imaging, stockpile inventory mapping"
9/25/2014,Pictorvision,Photo/Film,"PV- 14817, PVHL1, PV- 14817 PV-HL2, DJI Phantom 2, DJI Phantom 3, PV-HL 3",California,Closed-set filming. (Amended 2/2/15 and 6/24/15)
2/18/2015,"Picture Factory, Inc.",Photo/Film,"Foxtech Kraken 130 V2, Tarot Oct-Copter X8",Wisconsin,"Aerial filming in motion picture, video, photography, and television industries; mapping and aerial surveying operations. (Amended 6/2/15)"
6/23/2015,Pinncal X LLC,"Manufacturer, Emergency Serivices, Utilities/Energy/Infrastructure",Pinnacl X Chameleon Pro,Connecticut,"Fire and rescuer operations, wild life management and structural inspection on high tension power lines, towers, buildings, bridges, light poles."
5/21/2015,"PJ Cook Web Designs, Inc",Construction,"DJI Phantom 2 Vision+, DJI Inspire 1",Florida,"Aerial imaging for safety, monitoring and comparing work efforts and completion percentages, and security of controlled environment of various sites."
4/16/2015,PPL Electric Utilities Corporation,Utilities/Energy/Infrastructure,DJI S900,Pennsylvania,"Inspections of energy infrastructure, such as transmission and distribution lines and substations"
2/6/2015,"Pravia, LLC (I)",Agriculture,SenseFly eBee,Florida,"Aerial imagery in support of, biomass analysis and estimation, yield monitoring, leaf area indexing and reporting of geographical data and overall crop health to a domestic agricultural seed company."
2/6/2015,"Pravia, LLC (II)",Agriculture,E384 Unmanned Aircraft System,Florida,Agriculture analysis; high-resolution aerial imagery.
6/5/2015,Precision Air Inc.,"Agriculture, Real Estate",DJI Inspire 1,Indiana,"Inspection and evaluation of agricultural, residential and timber real-estate."
6/9/2015,"Precision Design & Drafting, Inc.",Utilities/Energy/Infrastructure,"DJI Phantom Vision 2+, DJI Phantom Vision 3, DJI Inspire 1",California,"Inspections, monitoring, mapping and photographing attached equipment and engineering studies involving communication towers, wind turbine tower facilities and power transmission tower operations."
4/9/2015,Precision Drone LLC,"Agriculture, Manufacturer",Precision Drone Pacesetter,Indiana,Agricultural crop monitoring operations.
6/9/2015,"Precision Unmanned Aerial, LLC","Real Estate, Emergency Services","DJI Phantom 2, DJI Inspire 1, DJI S1000",Oregon,"Aerial photography for yachts, land surveying, real estate, and, search operations."
4/16/2015,"PrecisionHawk, Inc.","Manufacturer, Agriculture",Hawkeye Mk-III,Indiana,"Precision aerial surveys, including in agriculture as well as flight demonstrations and structural assessments"
4/8/2015,Price Aviation Group,"Photo/Film, Other-Legal",3DR X8+,Maryland,Aerial photography and inspection.
5/20/2015,"Principia, Inc","Photo/Film, Real Estate, Agriculture, Utilities/Energy/Infrastructure",DJI S1000,New Jersey,"Aerial photography and filming operations for a range of business including insurance, real estate, agriculture, infrastructure inspection, and motion picture and television production."
5/11/2015,Pro Drones Canada Inc.,Utilities/Engergy/Infrastructure,MD4-200,--,"Oil and gas pipeline inspections, solar installation inspections, power line/cable inspections, cooling tower inspections, forestry, critical infrastructure inspections, wind turbine inspections, and radiation measurement and monitoring."
5/11/2015,Pro Drones Canada Inc.,Utilities/Engergy/Infrastructure,DT-18,--,"Oil and gas pipeline inspections, solar installation inspections, power line/cable inspections, cooling tower inspections, forestry, critical infrastructure inspections, wind turbine inspections, safety and security monitoring, radiation measurement, surveying, and mapping."
5/11/2015,Pro Drones Canada Inc.,Utilities/Engergy/Infrastructure,Microdrone MD4-1000,--,"Cooling tower inspections, forestry, critical infrastructure inspections, wind turbine inspections, safety and security monitoring, radiation measurement, surveying, and mapping"
6/17/2015,ProFly Drones,"Photo/Film, Emergency Services",Q500 Typhoon,California,"Aerial photography, videography, mapping, surveying and search and rescue operations."
5/1/2015,PromoMEdia LLC,"Photo/Film, Agriculture",DJI S1000,Texas,"Aerial photography for industrial, agricultural, motion picture, and television industry for scripted closed set filming"
5/29/2015,"Property Drone Consortium, LLC","Insurance, Construction","Microdrone MD4−1000, Aerialtronics Altura Zenith A TX8",Washington,Research and development for the use of UAS technology in the insurance and construction industries.
6/26/2015,Pueo Communications,Education,DJI Inspire 1,Hawaii,"Academic/educational and community demonstrations for the purpose of promoting the safe, innovative and creative use of UAS."
5/22/2015,"Qk4, Inc",Construction,Sensefly eBee,Kentucky,Mapping and land surveying.
4/17/2015,Quad Productions of Chicago,"Photo/Film, Real Estate","DJI Phantom 2, DJI Inspire 1, DJI Phantom S1000+",Illinois,"Augment real estate listing videos, provide aerial imaging for independent movie studios, private clients (mostly property owners), governments of villages (marketing and PR material for villages around City of Chicago), historical associations in Illinois and neighboring states for Historical Landmark movie productions for conducting aerial videography and cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the metro Chicago area."
3/12/2015,Quiet Creek Corporation,Agriculture,SenseFly eBee,Arizona,Mapping and precision agriculture operations.
5/22/2015,"R&M Aerial Imagery, LLC",Photo/Film,DJI Inspire 1,Virginia,Aerial imagery and surveying.
5/11/2015,Raecon Industries,Utilities/Energy/Infrastructure,Microdrone MD4-1000,Washington,Aerial inspections of industrial assets and power structures.
4/23/2015,Ralph J. Apel,Photo/Film,DJI Phantom 2 Vision+,Kansas,Augment real estate listing videos by using the Phantom Vision+ Unmanned Aircraft System to conduct aerial photography and videography of real property.
6/8/2015,"Ramaker & Associates, Inc.",Photo/Film/Mapping/Surveying,"DJI Phantom 2 Vision+, DJI Inspire 1, Draganflyer X4-P, Draganflyer X4ES.",Wisconsin,"Aerial photography, mapping, surveying, videography, and inspections."
6/23/2015,Raven Aerial Imaging,"Utilities/Energy/Infrastructure, Agriculture",DJI Phantom 2 Vision+,California,"Market research, aerial surveys, mapping, data collection and inspections that consist of still photographs, video, thermal imaging and other data taken by onboard sensors."
9/25/2014,"RC Pro Productions Consulting, dba Vortex Aerial",Photo/Film,"Coaxial Quad Multirotor VAO1, Coaxial Quad Multirotor VAO21, VA03, VA04 Quadcopter, VA07 Hexacopter",California,Closed-set filming. (Amended 4/29/15)
5/21/2015,RD Group,"Photo/Film, Real Estate, Construction, Other",DJI Phantom 2 Vision+,Texas,"Aerial video and photography services for real estate and construction, surveying and inspection, marine and wildlife, agriculture and for special events."
5/15/2015,"RDX Aerial Media, LLC","Photo/Film, Real Estate",DJI Spreading Wings,California,"Aerial videography/cinematography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the Southern California area, and augment real estate listing videos"
6/30/2015,"Real Help, Inc.","Agriculture, Conservation, Real Estate, Photo/Film, Emergency Services",DJI Phantom 2 Vision+,Montana,"Agricultural and conservation research, real estate photography and videography, local promotional photography and videography to promote tourism, news gathering, and fire and rescue support."
4/16/2015,RED Consultants LLC,Emergency Services,Aeryon SkyRanger,Maryland,"Market research, aerial surveys, mapping, testing, and inspections that consist of still photographs, video and other data."
6/16/2015,"REDLine Aerospace, LLC",Photo/Film,"DJI T600 Inspire 1, SteadiDrone Mavrick, Freefly Cinestar X8",Nevada,Aerial photography and videography.
4/17/2015,"Remote Pilot Systems, LLC",Utilities/Energy/Infrastructure,Aibotix X–6,Pennsylvania,"Aerial surveys and inspections in Pennsylvania over industrial mineral quarries for the purpose of stockpile volume determination, blasting survey, and inclined conveyor equipment inspection."
5/26/2015,"Replicopy, Inc dba RDM Productions",Photo/Film,DJI Inspire,Texas,"Standard and aerial videography and film productions for the purposes of documentation, experimentation, demonstration, and education."
5/8/2005,"Right Angle Photography, LLC",Photo/Film,DJI Phantom 2 Vision+,Massachusetts,"Aerial imaging, photography, and videography of properties."
5/5/2015,"Rimkus Consulting Group, Inc.",Construction,DJI Phantom 2 Vision+,Texas,Aerial inspections and surveys of structures and facilities as part of forensic evaluations.
6/8/2015,"RKC Media Solutions, LLC",Photo/Film,DJI-S900,Florida,"Aerial photography, videography, and data capture."
4/16/2015,"RKGmedia, LLC",Photo/Film,Seahawk 1.2,Washington,Aerial images for commercial use.
6/16/2015,Robert H. Melton Jr.,"Photo/Film, Agriculture, Emergency Services",DJI Phantom 2 Vison Plus,Tennessee,"Local search and rescue, photography, agriculture monitoring and storm damage inspection."
5/11/2015,Robert M. Serino,Photo/Film,DJI Phantom 2,Maryland,"Aerial photography, research and development, and volunteer services."
6/2/2015,Robin J. Saderup,Photo/Film,Yuneec Q500 Typhoon,Arizona,Aerial photography and videography.
5/13/2015,Robinson Capital LLC,Real Estate,DJI Phantom 2 Vision+,Idaho,Aerial photography and videography for real estate.
5/14/2015,"Robison Engineering Company, Inc.",Utilities/Energy/Infrastructure,SenseFly SA eBee RTK,Nevada,Aerial mapping of mine sites in Nevada and California.
4/8/2015,"RoboFlight Systems, LLC","Agriculture, Education, Real Estate","DJI Phantom 2 Vision+, DJI Inspire 1, DJI S900, RF–70",Iowa,"Agricultural surveying, small UAS operator training, real estate photography, product demonstrations, and research and development."
6/2/2015,Rose Paving Company,Construction,DJI Phantom 2 Vision+,Georgia,Support asphalt paving and ground utilization.
5/15/2015,Rotary Image Marketing,Real Estate,Phantom 2 Vision +,Texas,Aerial videography and cinematography to develop community awareness for housing and business properties.
6/8/2015,RS&H,Photo/Film/Infracturature,DJI Inspire 1,Florida,"Geospatial data collection, aerial photography, infrastructure inspection services, and disaster area damage and debris assessments."
4/16/2015,RW Zollinger Consulting Engineers,Construction,DJI Phantom 2,Pennsylvania,"Aerial data collection including LIDAR, visual photography, and infrared remote sensing applications."
6/23/2015,"RX Ag Services, LLC",Agriculture,2015 AgEagle,South Dakota,"Inspection, mapping and surveying tasks in precision agriculture, crop scouting, crop insurance, hazard mitigation and in support of Federal Crop Management programs."
4/9/2015,Ryan K Koffman,"Photo/Film, Education","DJI Inspire, DJI S900, Blade 350QX",California,"Aerial photography and/or video, training, and closed-set filming. (Amended 6/23/15)"
6/5/2015,Ryan R. Smith,"Photo/Film, Emergency Services, Real Estate","DJI Phantom 2 Vision+,DJI Inspire",Florida,Aerial photography and videography; cinematography; inspection/photography of residential/commercial structures; providing live video feed to assist with search and rescue operations in cases of emergency or natural disaster.
5/19/2015,Samuel Adams,Photo/Film,DJI Inspire 1,Alaska,"Aerial mapping, videography, and photography."
3/26/2015,San Diego Gas and Electric Company,Utilities/Energy/Infrastructure,"InstantEye Mk-2 Gen, InstantEye Mk-2 Gen3, Pulse Aerospace Vapor 35, Vapor 55, PrecisionHawk Lancaster Hawkeye",California,"Aerial inspections of electric and gas facilities, including emergency response damage assessments. (Amended 5/7/15)"
5/14/2015,"Sanborn Map Company, Inc.",Photo/Film,Leptron Avenger,Illinois,Aerial surveying operations.
3/20/2015,Saratoga Aerial Photo and Video,Photo/Film,DJI Phantom 2 Vision+,New York,Aerial photography.
6/5/2015,SCS Engineers,Utilities/Energy/Infrastructure,DJI Phantom 2,New York,Aerial photography and videography.
5/8/2015,Secher Site Specific LLC,Agriculture,DJI Phantom 2 Vision,Michigan,Assess the damage for replant or crop insurance claims and determine possible equipment problems affecting yield.
5/8/2015,Secher Site Specific LLC,Agriculture,AgEagle,Michigan,Photogrammetry and crop scouting in order to perform precision agriculture.
4/3/2015,SenseFly LTD.,Manufacturer,SenseFly eBee,--,Mapping and precision agriculture.
5/15/2015,Seth Hellinga,"Photo/Film, Real Estate",DJI Phantom 2+,Iowa,Aerial imaging and videography of real estate.
4/8/2015,Sevee Maher Engineers Inc.,Construction,Atlantic RC Aircraft LC 047,Maine,"Topographic surveys for civil, environmental, geotechnical, water, and compliance."
6/17/2015,SFX Entertainment,Other-Security,DJI S900,Arizona,Monitoring of traffic flow and parking lots to assist state and local enforcement agencies in traffic management at outdoor music festivals.
4/17/2015,Shanon Kern,Photo/Film,"DJI Phantom, DJI F550",California,"Aerial photography, videography, and cinematography."
1/29/2015,Shotover,Photo/Film,"Gryphon Dynamics X8, DJI S1000",California,Motion picture and television operations. (Amended 4/29/15)
4/3/2015,"Shotwell Media, LLC",Photo/Film,"DJI S1000, DJI S900, DJI Inspire 1, DJI Phantom 2",California,Closed-set filming and aerial photography.
5/14/2015,"Shutter Pilots, Inc.",Photo/Film,"DJI Phantom 2 Vision+, DJI Inspire 1",North Dakota,Aerial imaging and computer animation operations to provide two-dimensional and three-dimensional visualization services to support various industries.
5/8/2015,"Silver Fern Homes, LLC","Real Estate, Photo/Film", DJI Phantom 2 Vision+,Colorado,"Aerial videography and photography for hobby and recreational purposes, as well as, marketing and promotional purposes in the real estate industry."
5/14/2015,"Simon Feldman Studio, Inc.",Photo/Film,"DJI Phantom, DJI Inspire 1",New York,Aerial imaging and videography.
5/14/2015,Sinclair Community College,Education,Altavian Nova F6500,Ohio,Educational research and training.
6/16/2015,Singer's Creations,Real Estate,DJI S Phantom 2 Vision + UAS,Pennsylvania,Real-estate photography.
3/3/2015,Singer's Creations,Real Estate,DJI Phantom 2 Vision+,Pennsylvania,Real-estate photography. (Amended 6/16/15)
6/16/2015,"Site Flight, Inc.","Photo/Film, Education, Other","DJI Phantom 2, DJI Inspire 1, DJI S900, DJI S1000",Florida,"Aerial surveying, photography, videography, inspections, monitoring, patrolling, public entity support operations, and education and research."
6/17/2015,Sky Eye LLC,"Photo/Film, Construction, Real Estate","DJI Phantom 3, DJI Phantom 2 Vision+, DJI Inspire 1",Connecticut,"Aerial photography and videography to be used for construction, real estate, television commercials, weather traffic and news reports, and sporting events."
5/15/2015,"Sky Guardian, LLC","Agriculture, Utilities/Energy/Infrastructure, Government Contracting",DJI Phantom 2 Vision+,Arizona,"Aerial acquisitions and research over rural and populated areas of the United States, commercially, in support of government entities, agriculture, scientific studies, wildlife monitoring, forestry operations, and the oil, gas, and mining industries."
6/29/2015,Sky Realty Productions,Photo/Film,"DJI S800, DJI S1000",Florida,Aerial photography for the broadcast television industry.
5/29/2015,"Sky Scape Industries, LLC","Real Estate, Construction, Emergency Services","DJI Phantom, DJI Phantom 2 Vision+, DJI Inspire, DJI S900, DJI S1000",Florida,"Real estate, yacht, resort, and event marketing photo and video media; survey-grade construction mapping and monitoring; and search and rescue operations."
4/8/2015,Sky Shots Aerial Imaging,Photo/Film,"DJI P330z, DJI S1000+",Virginia,Motion picture and television operations.
6/23/2015,"Sky Vision Services, LLC",Real Estate,Tarot FY690S,California,Recording videography/cinematography and/or still photographs to enhance the visual appeal and sale-ability of real estate listings in the Northern California area.
5/22/2015,Sky-Forge Robotics LLC,"Education, Photo/Film","DJI Inspire 1, DJI Phantom 2",Washington,"Aerial imaging for safety, monitoring, training, and remote sensing."
3/13/2015,Sky-Futures UAS Inc.,Utilities/Energy/Infrastructure,AscTec Falcon 8 UAS,Texas,Oil and gas platform inspections on land and over water.
5/19/2015,Skycam Video,"Photo/Film, Utilities/Energy/Infrastructure, Construction, Real Estate",DJI Inspire 1,Colorado,"Aerial photography and videography for mapping, inspections of drainage ways, detention ponds, utilities, construction industries, and real estate properties."
5/21/2015,SKYCAPTURE,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,Illinois,"Evaluation of real estate properties, topography reports, and private events."
5/14/2015,"Skycatch, Inc.",Construction,Skycatch,California,Aerial imaging for safety and monitoring of secured and controlled environment construction sites.
5/5/2015,"Skycatch, Inc.",Agriculture,Skycatch vertical takeoff and vertical landing (VTOL) quadrotor,California,Aerial imaging of crop health and other agricultural use cases.
6/29/2015,Skyflik Aerial Filming,Real Estate,"DJI Phantom 2 Vision+, DJI Phantom 3",New Hampshire,"Aerial photography and videography for real estate, marketing, mapping, surveying, special events."
6/8/2015,SkyGizmo,"Photo/Film, Education","DJI S1000+, Yuneec Q500.",California,"Aerial imaging, cinematography, recording of outdoor sporting events, and introductory instruction for UAS hobbyists."
6/12/2015,"Skylab Aerial Imaging, LLC",Photo/Film,DJI Inspire 1,Washington,"Commercial photography, cinematography, inspections, or surveying."
5/11/2015,SkyLynx LLC,"Photo/Film, Education","DJI Inspire 1, Model T600",Arizona,"Aerial photography, video, and UAS training."
4/17/2015,SkyPan International,Construction,Align T Rex 700E F3C,Illinois,"Inspections of unimproved or vacant properties for the construction industry, developers, and property owners."
4/3/2015,"SkyPhilly, Inc.","Utilities/Energy/Infrastructure, Agriculture, Photo/Film",DJI S900,Pennsylvania,"Aerial surveying, remote sensing, telecommunications, agriculture, aerial filmmaking and photography, energy systems inspections and asset management, construction site inspections and monitoring, wildlife and forestry monitoring, educational and research operations, and pipeline inspection and patrolling."
5/14/2015,SkyScape Services LLC,Photo/Film,DJI Phantom 2,Virginia,Aerial videography and cinematography.
6/23/2015,"SkySpecs, Inc",Utilities/Energy/Infrastructure OR Construction,DJI S900,Michigan,Visual inspection and photography of vertical structures.
6/26/2015,SkyView Aerial Solutions LLC,"Utilities/Energy/Infrastructure, Construction",DJI Phantom 2,South Carolina,Infrastructure and construction inspection.
5/13/2015,"Skyview Films, LLC",Photo/Film,DJI Phantom II,Florida,Aerial videography.
5/14/2015,"SkyWard IO, Inc.",Research,"DJI Spreading Wings S10001, 3D Robotics X82, 3D Robotics Iris3, DJI Phantom 24, DJI Phantom 2 Vision Plus5",Oregon,Research and development of sUAS and associated sUAS software within defined areas of operations.
4/16/2015,SkyWords Advertising,"Real Estate, Photo/Film","DJI Phantom 2 Vision+, Harris I8 HL",Florida,Aerial photography and cinematography for commercial and residential real estate and closed-set special events.
1/29/2015,"Slugwear, dba LikeonaTree",Photo/Film,DJI Phantom 2,Washington,Aerial photography.
5/15/2015,"Snake River Search, Inc.",Emergency Services,DJI Phantom 2 Vision+,Idaho,Search operations for missing persons.
5/22/2015,Snap 180 Media LLC,"Photo/Film, Education",DJI Inspire 1,Arkansas,Aerial photography and videography and UAS training.
9/25/2014,Snaproll Media,Photo/Film,SnapRoll Media SUAS,Tennessee,Closed-set filming.
6/5/2015,Snowy Owl Productions,"PhotoFilm, Utilities/Energy/Infrastructure, Real Estate","DJI Phantom 2 Vision+, DJI S1000+",North Dakota,"Aerial photography for structural assessment of tall structures such as wind turbines, communications towers and flare stacks, as well as aerial photography for real estate marketing and event photography."
4/24/2015,"Soar Environmental Consulting, Inc.",Utilities/Energy/Infrastructure,Rotomotion SR–15,California,"Inspections of hydroelectric system assets, specifically remote penstocks, flow lines, dams, and reservoirs; remote or impassable section of natural gas and/or oil pipelines; and bridges supporting gas and oil pipelines."
4/16/2015,"Sokoler, Bob",Real Estate,DJI Phantom 2 Vision+,Kentucky,Aerial imaging and video of Louisville Landmarks and homes the team lists for sale.
3/20/2015,"Solusia Air, LLC",Utilities/Energy/Infrastructure,"Aibotix, Aibot X6 V2",Georgia,"Telecommunications and utility structure inspection, construction, and maintenance services."
6/1/2015,Soutex Inc. dba Soutex Surveyors & Engineers,Construction,Aibotix Aibot X-6.,Texas,"Services that include boundary surveying, topographic surveying, engineering design, architectural design, construction staking, inspection, and construction management,"
3/26/2015,Southern Electric Company,Utilities/Energy/Infrastructure,SkyRanger,Georgia,Research on the applicability of UAS when assessing damage to power lines due to storm events and performing routine power line inspection.
4/9/2015,SouthGate Films Inc.,Photo/Film,"DJI F550, Tarot T-15, Tarot T-18",New York,"Aerial filming and photography for short films, motion pictures, and commercial filming."
6/26/2015,Spark Aerial Inc,"Photo/Film, Agriculture","DJI Phantom 2 Vision+, DJI Inspire 1, DJI S1000",California,"Aerial photography, cinematography, videography, mapping, crop surveying, inspections, and other flight operations."
6/5/2015,"SpawGlass Contractors, Inc.",Construction,DJI Inspire 1,Texas,"Construction imaging, inspections and data collection operations."
6/8/2015,Special Forces Parachute Team 501 (c)(19),"Photo/Film, Construction, Real Estate",DJI Phantom 2 Vision+,North Carolina,"Commercial photography, videography, inspections or surveying, construction, real estate."
6/16/2015,"Specialized Project Services, Inc.","Agriculture, Conservation, Real Estate, Other",DJI Phantom 2 Vision+,South Dakota,"Precision agriculture aerial surveying, site inspection and patrolling, wildlife and forestry monitoring, public entity support operations, and real estate photography."
4/17/2015,Stark Aerospace Inc.,"Manufacturer, Agriculture, Utilities/Energy/Infrastructure",Stark Aerospace ArrowLite,Mississippi,"Agricultural 3-D mapping service operations, oil and gas exploration, and pipeline inspection."
2/25/2015,State Farm Mutual Automobile Insurance Company,Insurance,"Aerialtronics Altura Zenith ATX8, Altavian Nova F6500",Illinois,"Aerial inspections, insurance."
2/13/2015,State Farm Mutual Automobile Insurance Company,Inusrance,"Aerialtronics Altura Zenith ATX8, Altavian Nova F6500",Illinois,"Imagery and analytics in underwriting, re-underwriting, catastrophe response, roof inspection, and claim resolutions settings."
5/22/2015,Stephen E. Van Vickle,"Photo/Film, Education",DJI Phantom 2 Vision+,Virginia,"Aerial photography, commercial cinematic and academic flight operations."
5/11/2015,"Stephenson Construction Management, LLC",Construction,DJI Inspire 1,Florida,Aerial videography and cinematography to enhance academic community awareness and to augment real estate listings.
6/23/2015,Steve Fincher Photography,"Photo/Film, Construction",3DR Iris+,South Carolina,"Aerial photography of performance automobiles on the manufactureres closed circuit test facility, Industrial equipment in use on construction sites, monthly construction progress recording, architectural photography, road and bridge construction, sports photography for manufactures of kayaks and boating equipment, real estate, corporate manufacturing facility photography and many other uses."
6/23/2015,"Steven Chain, Chain Enterprises","Real Estate, Construction","REHawk500, REHawk680",California,"Aerial photography and videography for real estate marketing, construction site inspection, and special events."
5/21/2015,Steven J. Massi,Photo/Film,DJI Phantom 2 Vision+,North Carolina,"Aerial imaging, photography, and videography."
3/24/2015,Steven Zeets,"Utilities/Energy/Infrastructure, Agriculture, Government Contracting, Conservation","DJI S1000, DJI Phantom 2, DJI Phantom 2 Vision+, ARF-MikroKopter OktoXL, ARF-Mikrikopter OktoXL 6S12, RITEWING Z3 Spade 47”, RITEWING Z3 Spade 70”, RITEWING Z4 Spade 52”",Iowa,"Aerial acquisition and research in support of Government entities, agriculture industry, utility companies, local infrastructure, scientific studies, wildlife monitoring, mining, surveying, and forestry."
4/21/2015,"Straw Investment Group, LLC",Photo/Film,DJI Phantom 2,Texas,Aerial videography and to augment real estate listing videos in various metropolitan areas.
4/23/2015,"Strawberry Productions, LLC dba Flying Berry Productions",Photo/Film,DJI Phantom 2,Florida,Aerial videography and photography in the real estate and construction markets of Florida and Southern Georgia.
4/22/2015,Stringer News Service,Photo/Film,DJI Phantom 2 Vision+,New York,"Aerial photography/videography for the television, print and online news industry in Long Island."
4/24/2015,Stunning Heights LLP,Photo/Film,"DJI T600, SH900, DJI Inspire 1, DJI Spreading Wings S900",Utah,"Filming and photographing of property, people, and events."
5/22/2015,Surdex Corporation,"Utilities/Energy/Infrastructure, Government Contracting",Altavian Nova F6500,Missouri,"Aerial acquisitions and research, orthophotography, planimetric mapping, topographic mapping, geographic information systems, and LiDAR services for clients throughout the various levels of government, the engineering industry, the energy industry, and the forestry market"
4/21/2015,"Surveying and Mapping, LLC",Utilities/Energy/Infrastructure,Allied Drones HornetCam,Texas,Aerial land surveying and geospatial services.
6/26/2015,Sustainment Solutions Inc,"Utilities/Energy/Infrastructure, Agriculture",Aeryon SkyRanger,Kentucky,"Technical inspection services that consist of still photographs, video, and other data taken by onboard sensors."
6/29/2015,Sydor Aerial Photography LLC,Emergency Services,"DJI Phantom 2 Vision, DJI Phantom 2 Vision+, DJI Inspire 1, DJI Phantom 3",Indiana,Flights over accident scenes for the purpose of accurately documenting details of fatal and nonfatal transportation related accidents.
5/14/2015,Sydor Aerial Photography LLC,Utilities/Energy/Infrastructure,DJI Phantom 2 Vision,Indiana,"Operations involving creation of image maps, photographs, and videos of cellular phone towers."
5/14/2015,"Sydor Aerial Photography, LLC",Utilities/Energy/Infrastructure,DJI Phantom 2 Vision,Indiana,"Aerial image data collection on leased federally owned land in support of the ""New Energy Frontier"" initiative."
5/11/2015,"Sydor Aerial Photography, LLC",Photo/Film,DJI Phantom 2 Vision,Indiana,"sUAS flights over privately owned property for the purpose of creating image maps, photographs, and videos."
5/5/2015,"Sydor Aerial Photography, LLC",Real Estate, DJI Phantom 2 Vision,Indiana,Aerial photography for creating orthomosaics. Flights will be restricted to developed and undeveloped commercial real estate property.
4/17/2015,"Sydor Aerial Photography, LLC",Construction,DJI Phantom 2 Vision+,Indiana,Flights over construction sites during all phases of development. This would also include preliminary property surveying. UAS flights will be used to capture aerial photos for the purpose of creating orthomosaics (image maps).
4/8/2015,"Sydor Aerial Photography, LLC",Photo/Film,DJI Phantom 2 Vision,Indiana,"Aerial photography for for the purpose of providing the Municipal Solid Waste Landfill operators with orthomosaics (image maps). The image maps can in turn be used to compute volume, create 3D models, profile and contour lines, and 3D visualizations of landfills."
5/19/2015,T&K LLC,"Photo/Film, Real Estate, Agriculture, Utilities/Energy/Infrastructure",DJI Phantom 2 Vision+,--,"Aerial survey and photography in support of agricultural operations, surveying and civil engineering services, and the insurance and finance industries."
6/9/2015,Tabitha Femmer,Real Estate,"DJI Phantom 2, DJI Spreading Wings S1000",Louisiana,Aerial photos and videos of real estate listings.
5/1/2015,"TacticalMOA LLC, dba North East UAV",Other-Security,"DJI Phantom 2 Vision+, DJI Spreading Wings S900, DJI Spreading Wing S1000",Ohio,"Aerial imagery operations for commercial, public, and private entities. Supplier of Firearms, Ammunition, Optics and Shooting Accessories."
5/5/2015,"Take Flight UAS, LLC","Agriculture, Utilities/Energy/Infrastructure, Conservation, Emergency Services, Scientific Studies","3DRobotics X8+, Bormatec Maja UAV",Idaho,"Aerial imagery operations in support of precision production agriculture, natural resource monitoring, university and private research, climate change observations, humanitarian relief efforts, and emergency services."
1/29/2015,Team 5,Photo/Film,"Gryphon Dynamics X8, DJI S1000",California,"Aerial filming, motion picture and television."
6/30/2015,Terence G. Haglund,"Photo/Film, Real Estate",DJI Phantom 2 Vision+,Virginia,Aerial photography and videography to enhance academic community awareness for those individuals and companies unfamiliar with the geographical layout of the metro Tucson area and augment real estate listing videos.
6/16/2015,Terra Imaging LLC,Photo/Film,"Trimble UX5, DJI S1000",Colorado,"Aerial surveys, photography and closed set cinematography."
6/26/2015,Terra Solva GIS LLC Inc,,DJI Spreading Wings S800,--,"Aerial surveying, mapping, and inspections."
6/2/2015,"Terraplane, LLC","Utilities/Energy/Infrastructure, Government Contracting, Agriculture, Scientific Studies, Conservation","Ritewing Z3 Spade 47”, Ritewing Z3 Spade 70”, Ritewing Z4 Spade 52”, DJI Phantom 2, DJI Phantom 2 Vision+, DJI Spreading Wings S1000, ARF-MikroKopter OktoXL",Iowa,"Aerial acquisition and research n support of government entities, agriculture industry, utility companies, local infrastructure, scientific studies, wildlife monitoring, mining, surveying, forestry, and much more."
4/17/2015,Texas UAV Professionals,"Utilities/Energy/Infrastructure, Construction",TUP X8-800,Texas,Inspections for utility and construction industries.
